Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2020-09-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-09-14,2020-09-20
2020-09-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-09-21,2020-09-27
2020-09-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-09-28,2020-10-04
2020-10-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-10-05,2020-10-11
2020-10-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-10-12,2020-10-18
2020-10-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-10-19,2020-10-25
2020-10-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-10-26,2020-11-01
2020-11-02,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-11-02,2020-11-08
2020-11-09,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-11-09,2020-11-15
2020-11-16,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-11-16,2020-11-22
2020-11-23,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-11-23,2020-11-29
2020-11-30,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-11-30,2020-12-06
2020-12-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-12-07,2020-12-13
2020-12-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-12-14,2020-12-20
2020-12-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-12-21,2020-12-27
2020-12-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2020-12-28,2021-01-03
2021-01-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-01-04,2021-01-10
2021-01-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-01-11,2021-01-17
2021-01-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-01-18,2021-01-24
2021-01-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-01-25,2021-01-31
2021-02-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-02-01,2021-02-07
2021-02-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-02-08,2021-02-14
2021-02-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-02-15,2021-02-21
2021-02-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-02-22,2021-02-28
2021-03-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-03-01,2021-03-07
2021-03-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-03-08,2021-03-14
2021-03-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-03-15,2021-03-21
2021-03-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-03-22,2021-03-28
2021-03-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-03-29,2021-04-04
2021-04-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-04-05,2021-04-11
2021-04-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-04-12,2021-04-18
2021-04-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-04-19,2021-04-25
2021-04-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-04-26,2021-05-02
2021-05-03,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-05-03,2021-05-09
2021-05-10,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-05-10,2021-05-16
2021-05-17,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-05-17,2021-05-23
2021-05-24,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-05-24,2021-05-30
2021-05-31,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-05-31,2021-06-06
2021-06-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-06-07,2021-06-13
2021-06-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-06-14,2021-06-20
2021-06-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-06-21,2021-06-27
2021-06-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-06-28,2021-07-04
2021-07-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-07-05,2021-07-11
2021-07-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-07-12,2021-07-18
2021-07-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-07-19,2021-07-25
2021-07-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-07-26,2021-08-01
2021-08-02,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-08-02,2021-08-08
2021-08-09,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-08-09,2021-08-15
2021-08-16,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-08-16,2021-08-22
2021-08-23,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-08-23,2021-08-29
2021-08-30,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-08-30,2021-09-05
2021-09-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-09-06,2021-09-12
2021-09-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-09-13,2021-09-19
2021-09-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-09-20,2021-09-26
2021-09-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-09-27,2021-10-03
2021-10-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-10-04,2021-10-10
2021-10-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-10-11,2021-10-17
2021-10-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-10-18,2021-10-24
2021-10-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-10-25,2021-10-31
2021-11-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-11-01,2021-11-07
2021-11-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-11-08,2021-11-14
2021-11-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-11-15,2021-11-21
2021-11-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-11-22,2021-11-28
2021-11-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-11-29,2021-12-05
2021-12-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-12-06,2021-12-12
2021-12-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-12-13,2021-12-19
2021-12-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-12-20,2021-12-26
2021-12-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2021-12-27,2022-01-02
2022-01-03,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-01-03,2022-01-09
2022-01-10,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-01-10,2022-01-16
2022-01-17,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-01-17,2022-01-23
2022-01-24,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-01-24,2022-01-30
2022-01-31,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-01-31,2022-02-06
2022-02-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-02-07,2022-02-13
2022-02-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-02-14,2022-02-20
2022-02-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-02-21,2022-02-27
2022-02-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-02-28,2022-03-06
2022-03-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-03-07,2022-03-13
2022-03-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-03-14,2022-03-20
2022-03-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-03-21,2022-03-27
2022-03-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-03-28,2022-04-03
2022-04-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-04-04,2022-04-10
2022-04-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-04-11,2022-04-17
2022-04-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-04-18,2022-04-24
2022-04-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-04-25,2022-05-01
2022-05-02,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-05-02,2022-05-08
2022-05-09,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-05-09,2022-05-15
2022-05-16,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-05-16,2022-05-22
2022-05-23,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-05-23,2022-05-29
2022-05-30,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-05-30,2022-06-05
2022-06-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-06-06,2022-06-12
2022-06-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-06-13,2022-06-19
2022-06-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-06-20,2022-06-26
2022-06-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-06-27,2022-07-03
2022-07-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-07-04,2022-07-10
2022-07-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-07-11,2022-07-17
2022-07-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-07-18,2022-07-24
2022-07-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-07-25,2022-07-31
2022-08-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-08-01,2022-08-07
2022-08-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-08-08,2022-08-14
2022-08-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-08-15,2022-08-21
2022-08-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-08-22,2022-08-28
2022-08-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-08-29,2022-09-04
2022-09-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-09-05,2022-09-11
2022-09-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-09-12,2022-09-18
2022-09-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-09-19,2022-09-25
2022-09-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-09-26,2022-10-02
2022-10-03,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-10-03,2022-10-09
2022-10-10,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-10-10,2022-10-16
2022-10-17,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-10-17,2022-10-23
2022-10-24,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-10-24,2022-10-30
2022-10-31,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-10-31,2022-11-06
2022-11-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-11-07,2022-11-13
2022-11-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-11-14,2022-11-20
2022-11-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-11-21,2022-11-27
2022-11-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-11-28,2022-12-04
2022-12-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-12-05,2022-12-11
2022-12-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-12-12,2022-12-18
2022-12-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-12-19,2022-12-25
2022-12-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2022-12-26,2023-01-01
2023-01-02,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-01-02,2023-01-08
2023-01-09,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-01-09,2023-01-15
2023-01-16,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-01-16,2023-01-22
2023-01-23,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-01-23,2023-01-29
2023-01-30,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-01-30,2023-02-05
2023-02-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-02-06,2023-02-12
2023-02-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-02-13,2023-02-19
2023-02-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-02-20,2023-02-26
2023-02-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-02-27,2023-03-05
2023-03-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-03-06,2023-03-12
2023-03-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-03-13,2023-03-19
2023-03-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-03-20,2023-03-26
2023-03-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-03-27,2023-04-02
2023-04-03,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-04-03,2023-04-09
2023-04-10,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-04-10,2023-04-16
2023-04-17,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-04-17,2023-04-23
2023-04-24,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-04-24,2023-04-30
2023-05-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-05-01,2023-05-07
2023-05-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-05-08,2023-05-14
2023-05-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-05-15,2023-05-21
2023-05-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-05-22,2023-05-28
2023-05-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-05-29,2023-06-04
2023-06-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-06-05,2023-06-11
2023-06-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-06-12,2023-06-18
2023-06-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-06-19,2023-06-25
2023-06-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-06-26,2023-07-02
2023-07-03,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-07-03,2023-07-09
2023-07-10,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-07-10,2023-07-16
2023-07-17,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-07-17,2023-07-23
2023-07-24,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-07-24,2023-07-30
2023-07-31,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-07-31,2023-08-06
2023-08-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-08-07,2023-08-13
2023-08-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-08-14,2023-08-20
2023-08-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-08-21,2023-08-27
2023-08-28,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-08-28,2023-09-03
2023-09-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-09-04,2023-09-10
2023-09-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-09-11,2023-09-17
2023-09-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-09-18,2023-09-24
2023-09-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-09-25,2023-10-01
2023-10-02,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-10-02,2023-10-08
2023-10-09,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-10-09,2023-10-15
2023-10-16,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-10-16,2023-10-22
2023-10-23,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-10-23,2023-10-29
2023-10-30,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-10-30,2023-11-05
2023-11-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-11-06,2023-11-12
2023-11-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-11-13,2023-11-19
2023-11-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-11-20,2023-11-26
2023-11-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-11-27,2023-12-03
2023-12-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-12-04,2023-12-10
2023-12-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-12-11,2023-12-17
2023-12-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-12-18,2023-12-24
2023-12-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2023-12-25,2023-12-31
2024-01-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-01-01,2024-01-07
2024-01-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-01-08,2024-01-14
2024-01-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-01-15,2024-01-21
2024-01-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-01-22,2024-01-28
2024-01-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-01-29,2024-02-04
2024-02-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-02-05,2024-02-11
2024-02-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-02-12,2024-02-18
2024-02-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-02-19,2024-02-25
2024-02-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-02-26,2024-03-03
2024-03-04,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-03-04,2024-03-10
2024-03-11,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-03-11,2024-03-17
2024-03-18,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-03-18,2024-03-24
2024-03-25,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-03-25,2024-03-31
2024-04-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-04-01,2024-04-07
2024-04-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-04-08,2024-04-14
2024-04-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-04-15,2024-04-21
2024-04-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-04-22,2024-04-28
2024-04-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-04-29,2024-05-05
2024-05-06,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-05-06,2024-05-12
2024-05-13,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-05-13,2024-05-19
2024-05-20,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-05-20,2024-05-26
2024-05-27,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-05-27,2024-06-02
2024-06-03,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-06-03,2024-06-09
2024-06-10,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-06-10,2024-06-16
2024-06-17,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-06-17,2024-06-23
2024-06-24,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-06-24,2024-06-30
2024-07-01,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-07-01,2024-07-07
2024-07-08,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-07-08,2024-07-14
2024-07-15,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-07-15,2024-07-21
2024-07-22,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-07-22,2024-07-28
2024-07-29,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-07-29,2024-08-04
2024-08-05,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-08-05,2024-08-11
2024-08-12,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-08-12,2024-08-18
2024-08-19,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-08-19,2024-08-25
2024-08-26,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-08-26,2024-09-01
2024-09-02,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-09-02,2024-09-08
2024-09-09,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-09-09,2024-09-15
2024-09-16,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-09-16,2024-09-22
2024-09-23,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-09-23,2024-09-29
2024-09-30,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-09-30,2024-10-06
2024-10-07,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-10-07,2024-10-13
2024-10-14,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-10-14,2024-10-20
2024-10-21,,,,,12359.98560465037,,,,99.51174623592327,0.1587007149191777,,,,Buy,2024-10-21,2024-10-27
2024-10-28,12360.0,12360.0,12360.0,,12359.999999999998,,,,99.51174623592327,8.74024408403784e-09,,,,Buy,2024-10-28,2024-11-03
2024-11-04,12360.0,12360.0,12360.0,,12359.999999999998,,,,99.51174623592327,8.092683856375515e-09,,,,Buy,2024-11-04,2024-11-10
2024-11-11,12360.0,12360.0,12360.0,,12359.999999999998,,,,99.51174623592327,7.494236342608929e-09,,,,Buy,2024-11-11,2024-11-17
