Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2017-06-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-06-27,2017-06-27
2017-06-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-06-28,2017-06-28
2017-06-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-06-29,2017-06-29
2017-06-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-06-30,2017-06-30
2017-07-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-01,2017-07-01
2017-07-02,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-02,2017-07-02
2017-07-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-03,2017-07-03
2017-07-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-04,2017-07-04
2017-07-05,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-05,2017-07-05
2017-07-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-06,2017-07-06
2017-07-07,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-07,2017-07-07
2017-07-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-08,2017-07-08
2017-07-09,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-09,2017-07-09
2017-07-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-10,2017-07-10
2017-07-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-11,2017-07-11
2017-07-12,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-12,2017-07-12
2017-07-13,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-13,2017-07-13
2017-07-14,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-14,2017-07-14
2017-07-15,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-15,2017-07-15
2017-07-16,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-16,2017-07-16
2017-07-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-17,2017-07-17
2017-07-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-18,2017-07-18
2017-07-19,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-19,2017-07-19
2017-07-20,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-20,2017-07-20
2017-07-21,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-21,2017-07-21
2017-07-22,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-22,2017-07-22
2017-07-23,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-23,2017-07-23
2017-07-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-24,2017-07-24
2017-07-25,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-25,2017-07-25
2017-07-26,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-26,2017-07-26
2017-07-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-27,2017-07-27
2017-07-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-28,2017-07-28
2017-07-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-29,2017-07-29
2017-07-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-30,2017-07-30
2017-07-31,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-07-31,2017-07-31
2017-08-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-01,2017-08-01
2017-08-02,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-02,2017-08-02
2017-08-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-03,2017-08-03
2017-08-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-04,2017-08-04
2017-08-05,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-05,2017-08-05
2017-08-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-06,2017-08-06
2017-08-07,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-07,2017-08-07
2017-08-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-08,2017-08-08
2017-08-09,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-09,2017-08-09
2017-08-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-10,2017-08-10
2017-08-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-11,2017-08-11
2017-08-12,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-12,2017-08-12
2017-08-13,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-13,2017-08-13
2017-08-14,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-14,2017-08-14
2017-08-15,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-15,2017-08-15
2017-08-16,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-16,2017-08-16
2017-08-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-17,2017-08-17
2017-08-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-18,2017-08-18
2017-08-19,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-19,2017-08-19
2017-08-20,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-20,2017-08-20
2017-08-21,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-21,2017-08-21
2017-08-22,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-22,2017-08-22
2017-08-23,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-23,2017-08-23
2017-08-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-24,2017-08-24
2017-08-25,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-25,2017-08-25
2017-08-26,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-26,2017-08-26
2017-08-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-27,2017-08-27
2017-08-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-28,2017-08-28
2017-08-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-29,2017-08-29
2017-08-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-30,2017-08-30
2017-08-31,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-08-31,2017-08-31
2017-09-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-01,2017-09-01
2017-09-02,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-02,2017-09-02
2017-09-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-03,2017-09-03
2017-09-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-04,2017-09-04
2017-09-05,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-05,2017-09-05
2017-09-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-06,2017-09-06
2017-09-07,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-07,2017-09-07
2017-09-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-08,2017-09-08
2017-09-09,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-09,2017-09-09
2017-09-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-10,2017-09-10
2017-09-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-11,2017-09-11
2017-09-12,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-12,2017-09-12
2017-09-13,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-13,2017-09-13
2017-09-14,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-14,2017-09-14
2017-09-15,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-15,2017-09-15
2017-09-16,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-16,2017-09-16
2017-09-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-17,2017-09-17
2017-09-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-18,2017-09-18
2017-09-19,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-19,2017-09-19
2017-09-20,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-20,2017-09-20
2017-09-21,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-21,2017-09-21
2017-09-22,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-22,2017-09-22
2017-09-23,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-23,2017-09-23
2017-09-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-24,2017-09-24
2017-09-25,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-25,2017-09-25
2017-09-26,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-26,2017-09-26
2017-09-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-27,2017-09-27
2017-09-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-28,2017-09-28
2017-09-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-29,2017-09-29
2017-09-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-09-30,2017-09-30
2017-10-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-01,2017-10-01
2017-10-02,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-02,2017-10-02
2017-10-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-03,2017-10-03
2017-10-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-04,2017-10-04
2017-10-05,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-05,2017-10-05
2017-10-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-06,2017-10-06
2017-10-07,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-07,2017-10-07
2017-10-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-08,2017-10-08
2017-10-09,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-09,2017-10-09
2017-10-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-10,2017-10-10
2017-10-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-11,2017-10-11
2017-10-12,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-12,2017-10-12
2017-10-13,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-13,2017-10-13
2017-10-14,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-14,2017-10-14
2017-10-15,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-15,2017-10-15
2017-10-16,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-16,2017-10-16
2017-10-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-17,2017-10-17
2017-10-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-18,2017-10-18
2017-10-19,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-19,2017-10-19
2017-10-20,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-20,2017-10-20
2017-10-21,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-21,2017-10-21
2017-10-22,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-22,2017-10-22
2017-10-23,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-23,2017-10-23
2017-10-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-24,2017-10-24
2017-10-25,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-25,2017-10-25
2017-10-26,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-26,2017-10-26
2017-10-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-27,2017-10-27
2017-10-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-28,2017-10-28
2017-10-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-29,2017-10-29
2017-10-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-30,2017-10-30
2017-10-31,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-10-31,2017-10-31
2017-11-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-01,2017-11-01
2017-11-02,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-02,2017-11-02
2017-11-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-03,2017-11-03
2017-11-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-04,2017-11-04
2017-11-05,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-05,2017-11-05
2017-11-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-06,2017-11-06
2017-11-07,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-07,2017-11-07
2017-11-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-08,2017-11-08
2017-11-09,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-09,2017-11-09
2017-11-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-10,2017-11-10
2017-11-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-11,2017-11-11
2017-11-12,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-12,2017-11-12
2017-11-13,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-13,2017-11-13
2017-11-14,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-14,2017-11-14
2017-11-15,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-15,2017-11-15
2017-11-16,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-16,2017-11-16
2017-11-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-17,2017-11-17
2017-11-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-18,2017-11-18
2017-11-19,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-19,2017-11-19
2017-11-20,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-20,2017-11-20
2017-11-21,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-21,2017-11-21
2017-11-22,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-22,2017-11-22
2017-11-23,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-23,2017-11-23
2017-11-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-24,2017-11-24
2017-11-25,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-25,2017-11-25
2017-11-26,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-26,2017-11-26
2017-11-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-27,2017-11-27
2017-11-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-28,2017-11-28
2017-11-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-29,2017-11-29
2017-11-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-11-30,2017-11-30
2017-12-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-01,2017-12-01
2017-12-02,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-02,2017-12-02
2017-12-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-03,2017-12-03
2017-12-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-04,2017-12-04
2017-12-05,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-05,2017-12-05
2017-12-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-06,2017-12-06
2017-12-07,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-07,2017-12-07
2017-12-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-08,2017-12-08
2017-12-09,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-09,2017-12-09
2017-12-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-10,2017-12-10
2017-12-11,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-11,2017-12-11
2017-12-12,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-12,2017-12-12
2017-12-13,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-13,2017-12-13
2017-12-14,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-14,2017-12-14
2017-12-15,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-15,2017-12-15
2017-12-16,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-16,2017-12-16
2017-12-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-17,2017-12-17
2017-12-18,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-18,2017-12-18
2017-12-19,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-19,2017-12-19
2017-12-20,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-20,2017-12-20
2017-12-21,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-21,2017-12-21
2017-12-22,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-22,2017-12-22
2017-12-23,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-23,2017-12-23
2017-12-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-24,2017-12-24
2017-12-25,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-25,2017-12-25
2017-12-26,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-26,2017-12-26
2017-12-27,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-27,2017-12-27
2017-12-28,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-28,2017-12-28
2017-12-29,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-29,2017-12-29
2017-12-30,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-30,2017-12-30
2017-12-31,,,,,1250.0,,,,100.0,0.0,,,,Sell,2017-12-31,2017-12-31
2018-01-01,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-01,2018-01-01
2018-01-02,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-02,2018-01-02
2018-01-03,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-03,2018-01-03
2018-01-04,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-04,2018-01-04
2018-01-05,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-05,2018-01-05
2018-01-06,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-06,2018-01-06
2018-01-07,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-07,2018-01-07
2018-01-08,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-08,2018-01-08
2018-01-09,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-09,2018-01-09
2018-01-10,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-10,2018-01-10
2018-01-11,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-11,2018-01-11
2018-01-12,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-12,2018-01-12
2018-01-13,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-13,2018-01-13
2018-01-14,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-14,2018-01-14
2018-01-15,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-15,2018-01-15
2018-01-16,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-16,2018-01-16
2018-01-17,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-17,2018-01-17
2018-01-18,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-18,2018-01-18
2018-01-19,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-19,2018-01-19
2018-01-20,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-20,2018-01-20
2018-01-21,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-21,2018-01-21
2018-01-22,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-22,2018-01-22
2018-01-23,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-23,2018-01-23
2018-01-24,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-24,2018-01-24
2018-01-25,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-25,2018-01-25
2018-01-26,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-26,2018-01-26
2018-01-27,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-27,2018-01-27
2018-01-28,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-28,2018-01-28
2018-01-29,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-29,2018-01-29
2018-01-30,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-30,2018-01-30
2018-01-31,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-01-31,2018-01-31
2018-02-01,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-01,2018-02-01
2018-02-02,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-02,2018-02-02
2018-02-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-03,2018-02-03
2018-02-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-04,2018-02-04
2018-02-05,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-05,2018-02-05
2018-02-06,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-06,2018-02-06
2018-02-07,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-07,2018-02-07
2018-02-08,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-08,2018-02-08
2018-02-09,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-09,2018-02-09
2018-02-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-10,2018-02-10
2018-02-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-11,2018-02-11
2018-02-12,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-12,2018-02-12
2018-02-13,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-13,2018-02-13
2018-02-14,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-14,2018-02-14
2018-02-15,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-15,2018-02-15
2018-02-16,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-16,2018-02-16
2018-02-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-17,2018-02-17
2018-02-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-18,2018-02-18
2018-02-19,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-19,2018-02-19
2018-02-20,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-20,2018-02-20
2018-02-21,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-21,2018-02-21
2018-02-22,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-22,2018-02-22
2018-02-23,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-23,2018-02-23
2018-02-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-24,2018-02-24
2018-02-25,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-25,2018-02-25
2018-02-26,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-26,2018-02-26
2018-02-27,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-27,2018-02-27
2018-02-28,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-02-28,2018-02-28
2018-03-01,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-01,2018-03-01
2018-03-02,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-02,2018-03-02
2018-03-03,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-03,2018-03-03
2018-03-04,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-04,2018-03-04
2018-03-05,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-05,2018-03-05
2018-03-06,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-06,2018-03-06
2018-03-07,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-07,2018-03-07
2018-03-08,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-08,2018-03-08
2018-03-09,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-09,2018-03-09
2018-03-10,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-10,2018-03-10
2018-03-11,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-11,2018-03-11
2018-03-12,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-12,2018-03-12
2018-03-13,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-13,2018-03-13
2018-03-14,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-14,2018-03-14
2018-03-15,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-15,2018-03-15
2018-03-16,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-16,2018-03-16
2018-03-17,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-17,2018-03-17
2018-03-18,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-18,2018-03-18
2018-03-19,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-19,2018-03-19
2018-03-20,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-20,2018-03-20
2018-03-21,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-21,2018-03-21
2018-03-22,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-22,2018-03-22
2018-03-23,1250.0,1250.0,1250.0,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-23,2018-03-23
2018-03-24,,,,,1250.0,,,,100.0,0.0,,,,Sell,2018-03-24,2018-03-24
